[0302/010141.304:INFO:CONSOLE(21172)] "THREE.WebGLRenderer 92", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/build/three.js (21172)
[0302/010142.173:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/libs/ColladaLoader.js (3660)
[0302/010142.179:INFO:CONSOLE(255)] "Loaded: file:C:/Users/azatt/Models/Test1/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (255)
[0302/010142.180:INFO:CONSOLE(271)] "load end: file:C:/Users/azatt/Models/Test1/3d/forklift.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (271)
[0302/010142.263:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/libs/ColladaLoader.js (3660)
[0302/010142.271:INFO:CONSOLE(255)] "Loaded: file:C:/Users/azatt/Models/Test1/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (255)
[0302/010142.271:INFO:CONSOLE(271)] "load end: file:C:/Users/azatt/Models/Test1/3d/sittingworker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (271)
[0302/010142.312:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/libs/ColladaLoader.js (3660)
[0302/010142.314:INFO:CONSOLE(255)] "Loaded: file:C:/Users/azatt/Models/Test1/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (255)
[0302/010142.314:INFO:CONSOLE(271)] "load end: file:C:/Users/azatt/Models/Test1/3d/truck.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (271)
[0302/010142.377:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/libs/ColladaLoader.js (3660)
[0302/010142.380:INFO:CONSOLE(255)] "Loaded: file:C:/Users/azatt/Models/Test1/3d/lorry.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (255)
[0302/010142.380:INFO:CONSOLE(271)] "load end: file:C:/Users/azatt/Models/Test1/3d/lorry.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (271)
[0302/010142.408:INFO:CONSOLE(3660)] "THREE.ColladaLoader: File version 1.4.0", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/libs/ColladaLoader.js (3660)
[0302/010142.413:INFO:CONSOLE(255)] "Loaded: file:C:/Users/azatt/Models/Test1/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (255)
[0302/010142.413:INFO:CONSOLE(271)] "load end: file:C:/Users/azatt/Models/Test1/3d/worker.dae", source: file:///C:/Program%20Files/AnyLogic%208.9%20Professional/plugins/com.anylogic.graphics3d_8.9.3.202411201859/static/init.js (271)
